GO:0070935	3'-UTR-mediated mRNA stabilization
TAO:0001241	ceratobranchial 3 bone
TAO:0001518	ceratobranchial 3 cartilage
TAO:0001240	ceratobranchial 4 bone
TAO:0001519	ceratobranchial 4 cartilage
TAO:0001239	ceratobranchial 5 bone
TAO:0001521	ceratobranchial 5 cartilage
TAO:0000694	ceratobranchial 5 tooth
TAO:0000488	ceratobranchial bone
TAO:0001516	ceratobranchial cartilage
TAO:0001400	ceratohyal cartilage
TAO:0001850	ceratohyal-branchiostegal ray joint
GO:0021702	cerebellar Purkinje cell differentiation
TAO:0005021	cerebellar central artery
TAO:0002182	cerebellar granule cell
GO:0021707	cerebellar granule cell differentiation
TAO:0002182^OBO_REL:part_of(TAO:0000100)	cerebellar granule cell of cerebellum
GO:0021930	cerebellar granule cell precursor proliferation
TAO:0000100	cerebellum
GO:0021549	cerebellum development
GO:0021587	cerebellum morphogenesis
GO:0021589	cerebellum structural organization
TAO:0002184	cerebral spinal fluid
TAO:0002184^OBO_REL:part_of(TAO:0001261)	cerebral spinal fluid of ventricular system
GO:0005260	channel-conductance-controlling ATPase activity
GO:0032602	chemokine production
GO:0051026	chiasma assembly
GO:0006821	chloride transport
TAO:0009060^OBO_REL:part_of(TAO:0000046)	cholinergic neuron of retinal neural layer
CL:0000058	chondroblast
CL:0000058^OBO_REL:part_of(TAO:0000095)	chondroblast of gill arch 1-5 skeleton
CL:0000058^OBO_REL:part_of(TAO:0001306)	chondroblast of pharyngeal arch
CL:0000058^OBO_REL:part_of(TAO:0001595)	chondroblast of pharyngeal arch 1
CL:0000058^OBO_REL:part_of(TAO:0001596)	chondroblast of pharyngeal arch 2
CL:0000058^OBO_REL:part_of(TAO:0001460)	chondroblast of pharyngeal arch cartilage
TAO:0001424	chondrocranium
TAO:0001461	chondrocranium cartilage
CL:0000138	chondrocyte
GO:0002063	chondrocyte development
GO:0002062	chondrocyte differentiation
GO:0003415	chondrocyte hypertrophy
GO:0003428	chondrocyte intercalation involved in growth plate cartilage morphogenesis
GO:0090171	chondrocyte morphogenesis
CL:0000138^OBO_REL:part_of(TAO:0001205)	chondrocyte of Meckel's cartilage
CL:0000138^OBO_REL:part_of(TAO:0001516)	chondrocyte of ceratobranchial cartilage
CL:0000138^OBO_REL:part_of(TAO:0001400)	chondrocyte of ceratohyal cartilage
CL:0000138^OBO_REL:part_of(TAO:0001458)	chondrocyte of cranial cartilage
CL:0000138^OBO_REL:part_of(TAO:0001405)	chondrocyte of ethmoid cartilage
CL:0000138^OBO_REL:part_of(TAO:0001597)	chondrocyte of gill arch
CL:0000138^OBO_REL:part_of(TAO:0000095)	chondrocyte of gill arch 1-5 skeleton
CL:0000138^OBO_REL:part_of(TAO:0001422)	chondrocyte of hyosymplectic cartilage
CL:0000138^OBO_REL:part_of(TAO:0001227)	chondrocyte of mandibular arch
CL:0000138^OBO_REL:part_of(TAO:0001321)	chondrocyte of neurocranial trabecula
CL:0000138^OBO_REL:part_of(TAO:0001580)	chondrocyte of neurocranium
CL:0000138^OBO_REL:part_of(TAO:0001399)	chondrocyte of palatoquadrate cartilage
CL:0000138^OBO_REL:part_of(TAO:0001595)	chondrocyte of pharyngeal arch 1
CL:0000138^OBO_REL:part_of(TAO:0001596)	chondrocyte of pharyngeal arch 2
CL:0000138^OBO_REL:part_of(TAO:0001460)	chondrocyte of pharyngeal arch cartilage
CL:0000138^OBO_REL:part_of(TAO:0001507)	chondrocyte of trabecula cranii
CL:0000138^OBO_REL:part_of(TAO:0005059)	chondrocyte of trabecular layer
CL:0000138^OBO_REL:part_of(TAO:0001273)	chondrocyte of ventral mandibular arch
GO:0035988	chondrocyte proliferation
GO:0030206	chondroitin sulfate biosynthetic process
GO:0050650	chondroitin sulfate proteoglycan biosynthetic process
GO:0050653	chondroitin sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process
GO:0043009	chordate embryonic development
TAO:0001082	chordo neural hinge
TAO:0000329	chorion
TAO:0000329^OBO_REL:part_of(TAO:0001570)	chorion of unfertilized egg
TAO:0005094	choroidal vascular plexus
GO:0003682	chromatin binding
GO:0000785^OBO_REL:part_of(TAO:0009177)	chromatin of blastoderm cell
GO:0000785^OBO_REL:part_of(TAO:0000012)	chromatin of central nervous system
GO:0000785^OBO_REL:part_of(TAO:0000035)	chromatin of lens
GO:0000785^OBO_REL:part_of(TAO:0000046)	chromatin of retinal neural layer
GO:0000785^OBO_REL:part_of(TAO:0000144)	chromatin of retinal pigmented epithelium
GO:0000785^OBO_REL:part_of(TAO:0009005)	chromatin of spermatocyte
GO:0031052	chromosome breakage
GO:0030261	chromosome condensation
GO:0005694^OBO_REL:part_of(TAO:0000088)	chromosome of YSL
GO:0005694^OBO_REL:part_of(TAO:0009177)	chromosome of blastoderm cell
GO:0005694^OBO_REL:part_of(TAO:0001094)	chromosome of body
GO:0005694^OBO_REL:part_of(TAO:0000008)	chromosome of brain
GO:0005694^OBO_REL:part_of(CARO:0000013)	chromosome of cell
GO:0005694^OBO_REL:part_of(TAO:0001120)	chromosome of neuroectoderm
GO:0005694^OBO_REL:part_of(TAO:0000142)	chromosome of peripheral nervous system
GO:0005694^OBO_REL:part_of(TAO:0000075)	chromosome of spinal cord
GO:0007059	chromosome segregation
GO:0000781^OBO_REL:part_of(TAO:0001094)	chromosome, telomeric region of body
TAO:0001203	ciliary body
TAO:0001289	ciliary marginal zone
GO:0001539	ciliary or flagellar motility
GO:0035253^OBO_REL:part_of(TAO:0009032)	ciliary rootlet of ciliated cell
TAO:0009032^OBO_REL:part_of(TAO:0000001)	ciliated cell of Kupffer's vesicle
TAO:0009032^OBO_REL:part_of(TAO:0000330)	ciliated cell of cloacal chamber
TAO:0009032^OBO_REL:part_of(TAO:0000150)	ciliated cell of pronephric duct
TAO:0009032^OBO_REL:part_of(TAO:0000151)	ciliated cell of pronephros
TAO:0009035^OBO_REL:part_of(TAO:0000001)	ciliated epithelial cell of Kupffer's vesicle
TAO:0009358	ciliated olfactory receptor neuron
GO:0042384	cilium assembly
GO:0035083	cilium axoneme assembly
GO:0035085^OBO_REL:part_of(TAO:0000001)	cilium axoneme of Kupffer's vesicle
GO:0035085^OBO_REL:part_of(TAO:0001094)	cilium axoneme of body
GO:0035085^OBO_REL:part_of(TAO:0000008)	cilium axoneme of brain
GO:0035085^OBO_REL:part_of(TAO:0000938)	cilium axoneme of central canal
GO:0035085^OBO_REL:part_of(TAO:0009154)	cilium axoneme of eye photoreceptor cell
GO:0035085^OBO_REL:part_of(TAO:0000133)	cilium axoneme of neural rod
GO:0035085^OBO_REL:part_of(TAO:0001135)	cilium axoneme of neural tube
GO:0035085^OBO_REL:part_of(TAO:0000150)	cilium axoneme of pronephric duct
GO:0035085^OBO_REL:part_of(TAO:0000151)	cilium axoneme of pronephros
GO:0035085^OBO_REL:part_of(TAO:0000143)	cilium axoneme of retinal photoreceptor layer
GO:0060271	cilium morphogenesis
GO:0003341	cilium movement
GO:0060294	cilium movement involved in cell motility
GO:0005929^OBO_REL:part_of(TAO:0000001)	cilium of Kupffer's vesicle
GO:0005929^OBO_REL:part_of(TAO:0000168)	cilium of anterior macula
GO:0005929^OBO_REL:part_of(TAO:0001094)	cilium of body
GO:0005929^OBO_REL:part_of(TAO:0000938)	cilium of central canal
GO:0005929^OBO_REL:part_of(TAO:0009032)	cilium of ciliated cell
GO:0005929^OBO_REL:part_of(TAO:0000330)	cilium of cloacal chamber
GO:0005929^OBO_REL:part_of(TAO:0009033)	cilium of ependymal cell
GO:0005929^OBO_REL:part_of(TAO:0009154)	cilium of eye photoreceptor cell
GO:0005929^OBO_REL:part_of(TAO:0000022)	cilium of floor plate
GO:0005929^OBO_REL:part_of(TAO:0000166)	cilium of lateral crista
GO:0005929^OBO_REL:part_of(TAO:0007000)	cilium of macula saccule
GO:0005929^OBO_REL:part_of(TAO:0005242)	cilium of multiciliated epithelial cell
GO:0005929^OBO_REL:part_of(TAO:0001135)	cilium of neural tube
GO:0005929^OBO_REL:part_of(TAO:0000243)	cilium of neuromast
GO:0005929^OBO_REL:part_of(TAO:0000402)	cilium of olfactory bulb
GO:0005929^OBO_REL:part_of(TAO:0000554)	cilium of olfactory epithelium
GO:0005929^OBO_REL:part_of(TAO:0000130)	cilium of olfactory pit
GO:0005929^OBO_REL:part_of(TAO:0000048)	cilium of olfactory placode
GO:0005929^OBO_REL:part_of(TAO:0000051)	cilium of otic vesicle
GO:0005929^OBO_REL:part_of(TAO:0000047)	cilium of peripheral olfactory organ
GO:0005929^OBO_REL:part_of(TAO:0000940)	cilium of posterior lateral line neuromast
GO:0005929^OBO_REL:part_of(TAO:0007037)	cilium of posterior neural tube
GO:0005929^OBO_REL:part_of(TAO:0000150)	cilium of pronephric duct
GO:0005929^OBO_REL:part_of(TAO:0001558)	cilium of pronephric tubule
GO:0005929^OBO_REL:part_of(TAO:0000151)	cilium of pronephros
GO:0005929^OBO_REL:part_of(TAO:0001287)	cilium of renal tubule
GO:0005929^OBO_REL:part_of(TAO:0000075)	cilium of spinal cord
GO:0032922	circadian regulation of gene expression
GO:0050802	circadian sleep/wake cycle, sleep
GO:0042746	circadian sleep/wake cycle, wakefulness
TAO:0009043^OBO_REL:part_of(TAO:0000007)	circulating cell of blood
GO:0003013	circulatory system process
GO:0060200^OBO_REL:part_of(TAO:0000155)	clathrin sculpted acetylcholine transport vesicle of somite
GO:0032154^OBO_REL:part_of(TAO:0001176)	cleavage furrow of blastoderm
TAO:0000184	cleithrum
GO:0035844	cloaca development
TAO:0000330	cloacal chamber
GO:0060197	cloacal septation
GO:0061386	closure of optic fissure
GO:0070073	clustering of voltage-gated calcium channels
TAO:0001438	coelom
GO:0032964	collagen biosynthetic process
GO:0030199	collagen fibril organization
GO:0032963	collagen metabolic process
GO:0005581^OBO_REL:part_of(CL:0000138)	collagen of chondrocyte
GO:0005581^OBO_REL:part_of(TAO:0001458)	collagen of cranial cartilage
GO:0005581^OBO_REL:part_of(VSAO:0000032)	collagen of notochord
GO:0005581^OBO_REL:part_of(TAO:0009115)	collagen of skeletal muscle cell
GO:0005584^OBO_REL:part_of(TAO:0001458)	collagen type I of cranial cartilage
GO:0005585^OBO_REL:part_of(VSAO:0000040)	collagen type II of cartilage tissue
GO:0005585^OBO_REL:part_of(TAO:0001458)	collagen type II of cranial cartilage
GO:0005587^OBO_REL:part_of(VSAO:0000032)	collagen type IV of notochord
GO:0005589^OBO_REL:part_of(TAO:0001458)	collagen type VI of cranial cartilage
GO:0048668	collateral sprouting
GO:0048669	collateral sprouting in absence of injury
TAO:0009038^OBO_REL:part_of(TAO:0001326)	columnar/cuboidal epithelial cell of lens epithelium
TAO:0009038^OBO_REL:part_of(TAO:0000161)	columnar/cuboidal epithelial cell of third ventricle
TAO:0000490	commissura cerebelli
GO:0071679	commissural neuron axon guidance
TAO:0000186	common cardinal vein
TAO:0009023	common lymphocyte progenitor
TAO:0009023^OBO_REL:part_of(TAO:0000669)	common lymphocyte progenitor of head kidney
TAO:0009023^OBO_REL:part_of(TAO:0001077)	common lymphocyte progenitor of thymus primordium
GO:0043218^OBO_REL:part_of(TAO:0000029)	compact myelin of hindbrain
GO:0043218^OBO_REL:part_of(TAO:0007009)	compact myelin of nerve
GO:0043218^OBO_REL:part_of(TAO:0000175)	compact myelin of posterior lateral line nerve
GO:0043218^OBO_REL:part_of(TAO:0000075)	compact myelin of spinal cord
BSPO:0000088^OBO_REL:part_of(TAO:0000024)	compartment boundary of retinal ganglion cell layer
BSPO:0000088^OBO_REL:part_of(TAO:0001064)	compartment boundary of rhombomere
BSPO:0000088^OBO_REL:part_of(TAO:0000161)	compartment boundary of third ventricle
GO:0000793^OBO_REL:part_of(TAO:0001094)	condensed chromosome of body
GO:0000793^OBO_REL:part_of(TAO:0009005)	condensed chromosome of spermatocyte
TAO:0009322	cone retinal bipolar cell
GO:0005922^OBO_REL:part_of(TAO:0009315)	connexon complex of horizontal cell
TAO:0007050	constrictor dorsalis
GO:0043292^OBO_REL:part_of(TAO:0009117)	contractile fiber of fast muscle cell
GO:0043292^OBO_REL:part_of(TAO:0005145)	contractile fiber of muscle
GO:0043292^OBO_REL:part_of(TAO:0001117)	contractile fiber of post-vent region
GO:0043292^OBO_REL:part_of(TAO:0000155)	contractile fiber of somite
GO:0043292^OBO_REL:part_of(TAO:0001115)	contractile fiber of trunk
GO:0060026	convergent extension
GO:0060028	convergent extension involved in axis elongation
GO:0060027	convergent extension involved in gastrulation
GO:0022007	convergent extension involved in neural plate elongation
GO:0060029	convergent extension involved in organogenesis
GO:0090246	convergent extension involved in somitogenesis
VSAO:0000158	coracoid
TAO:0000640	cornea
TAO:0002186	corneal endothelium
TAO:0009264	corneal epithelial cell
TAO:0002187	corneal epithelium
TAO:0002189	corneal stroma
TAO:0001200	corpuscles of Stannius
GO:0030864^OBO_REL:part_of(TAO:0001094)	cortical actin cytoskeleton of body
GO:0030864^OBO_REL:part_of(TAO:0000018)	cortical actin cytoskeleton of epiblast
GO:0030866	cortical actin cytoskeleton organization
GO:0030863^OBO_REL:part_of(TAO:0000088)	cortical cytoskeleton of YSL
GO:0060471	cortical granule exocytosis
GO:0060473^OBO_REL:part_of(TAO:0001565)	cortical granule of oocyte stage II
GO:0060473^OBO_REL:part_of(TAO:0001566)	cortical granule of oocyte stage III
GO:0060128	corticotropin hormone secreting cell differentiation
TAO:0005297	cranial blood vessel
TAO:0001458	cranial cartilage
TAO:0001458^OBO_REL:part_of(TAO:0001580)	cranial cartilage of neurocranium
TAO:0001458^OBO_REL:part_of(TAO:0001306)	cranial cartilage of pharyngeal arch
TAO:0000013	cranial ganglia
TAO:0000641	cranial nerve
TAO:0000249	cranial nerve I
TAO:0000435	cranial nerve II
TAO:0000435^OBO_REL:part_of(TAO:0000556)	cranial nerve II of optic chiasm
TAO:0000405	cranial nerve III
TAO:0000600	cranial nerve IV
TAO:0000668	cranial nerve IX
TAO:0000697	cranial nerve V
TAO:0000310	cranial nerve VI
TAO:0000664	cranial nerve VII
TAO:0000247	cranial nerve VIII
TAO:0000453	cranial nerve X
GO:0021545	cranial nerve development
TAO:0001194	cranial neural crest
TAO:0001267	cranial vasculature
TAO:0000737	cranium
GO:0004693	cyclin-dependent protein kinase activity
GO:0004197	cysteine-type endopeptidase activity
GO:0004129	cytochrome-c oxidase activity
GO:0001816	cytokine production
GO:0000910	cytokinesis
GO:0019835	cytolysis
GO:0005737^OBO_REL:part_of(TAO:0009036)	cytoplasm of blood vessel endothelial cell
GO:0005737^OBO_REL:part_of(TAO:0009269)	cytoplasm of enterocyte
GO:0005737^OBO_REL:part_of(TAO:0005169)	cytoplasm of intrahepatic bile duct
GO:0005737^OBO_REL:part_of(TAO:0000036)	cytoplasm of liver and biliary system
GO:0005737^OBO_REL:part_of(TAO:0001570)	cytoplasm of unfertilized egg
GO:0016023^OBO_REL:part_of(TAO:0009154)	cytoplasmic membrane-bounded vesicle of eye photoreceptor cell
GO:0031122	cytoplasmic microtubule organization
GO:0044444^OBO_REL:part_of(TAO:0001565)	cytoplasmic part of oocyte stage II
GO:0031410^OBO_REL:part_of(TAO:0009114)	cytoplasmic vesicle of muscle cell
GO:0007016	cytoskeletal anchoring at plasma membrane
GO:0005856^OBO_REL:part_of(TAO:0009052)	cytoskeleton of motor neuron
GO:0022627^OBO_REL:part_of(TAO:0001094)	cytosolic small ribosomal subunit of body
GO:0016265	death
TAO:0001473^OBO_REL:part_of(TAO:0001175)	deep blastomere of blastodisc
GO:0030421	defecation
GO:0050829	defense response to Gram-negative bacterium
GO:0042742	defense response to bacterium
GO:0060318	definitive erythrocyte differentiation
GO:0060216	definitive hemopoiesis
GO:0055112	delamination involved in gastrulation with mouth forming second
GO:0030425^OBO_REL:part_of(TAO:0009150)	dendrite of Rohon-Beard neuron
GO:0030425^OBO_REL:part_of(TAO:0000197)	dendrite of dorsal nucleus
GO:0030425^OBO_REL:part_of(TAO:0000213)	dendrite of habenula
GO:0030425^OBO_REL:part_of(TAO:0009310)	dendrite of retinal ganglion cell
GO:0030425^OBO_REL:part_of(TAO:0000302)	dendrite of ventral nucleus
GO:0030425^OBO_REL:part_of(TAO:0009198)	dendrite of xanthophore
TAO:0000191	dentary
VSAO:0000130	dermal bone
TAO:0001119	dermis
TAO:0001119^OBO_REL:part_of(TAO:0000102)	dermis of dorsal fin fold
TAO:0001119^OBO_REL:part_of(TAO:0001115)	dermis of trunk
TAO:0001513	dermomyotome
GO:0002159	desmosome assembly
GO:0030057^OBO_REL:part_of(TAO:0002187)	desmosome of corneal epithelium
GO:0030057^OBO_REL:part_of(TAO:0009183)	desmosome of epidermal cell
GO:0030057^OBO_REL:part_of(TAO:0000114)	desmosome of heart
GO:0009583	detection of light stimulus
GO:0050962	detection of light stimulus involved in sensory perception
GO:0050908	detection of light stimulus involved in visual perception
GO:0050973	detection of mechanical stimulus involved in equilibrioception
GO:0050910	detection of mechanical stimulus involved in sensory perception of sound
GO:0050976	detection of mechanical stimulus involved in sensory perception of touch
GO:0035995	detection of muscle stretch
GO:0009584	detection of visible light
GO:0009855	determination of bilateral symmetry
GO:0071907	determination of digestive tract left/right asymmetry
GO:0061371	determination of heart left/right asymmetry
GO:0071908	determination of intestine left/right asymmetry
GO:0035462	determination of left/right asymmetry in diencephalon
GO:0003140	determination of left/right asymmetry in lateral mesoderm
GO:0007368	determination of left/right symmetry
GO:0071910	determination of liver left/right asymmetry
GO:0035469	determination of pancreatic left/right asymmetry
GO:0048264	determination of ventral identity
GO:0048589	developmental growth
GO:0060560	developmental growth involved in morphogenesis
GO:0048066	developmental pigmentation
GO:0032502	developmental process
GO:0010623	developmental programmed cell death
TAO:0000338	diencephalic tracts and commissures
TAO:0000101	diencephalon
GO:0021536	diencephalon development
TAO:0000339	digestive system
GO:0055123	digestive system development
GO:0022600	digestive system process
GO:0048565	digestive tract development
GO:0007502	digestive tract mesoderm development
GO:0048546	digestive tract morphogenesis
TAO:0000498	dilator operculi
BSPO:0000078^OBO_REL:part_of(VSAO:0000147)	distal region of pectoral fin
BSPO:0000078^OBO_REL:part_of(TAO:0005317)	distal region of pectoral fin fold
BSPO:0000078^OBO_REL:part_of(TAO:0000150)	distal region of pronephric duct
BSPO:0000378^OBO_REL:part_of(TAO:0000694)	distal surface of ceratobranchial 5 tooth
GO:0006585	dopamine biosynthetic process from tyrosine
GO:0042417	dopamine metabolic process
TAO:0009301	dopaminergic neuron
GO:0071542	dopaminergic neuron differentiation
TAO:0009301^OBO_REL:part_of(TAO:0000008)	dopaminergic neuron of brain
TAO:0009301^OBO_REL:part_of(TAO:0000633)	dopaminergic neuron of caudal tuberculum
TAO:0009301^OBO_REL:part_of(TAO:0000012)	dopaminergic neuron of central nervous system
TAO:0009301^OBO_REL:part_of(TAO:0000101)	dopaminergic neuron of diencephalon
TAO:0009301^OBO_REL:part_of(TAO:0000109)	dopaminergic neuron of forebrain
TAO:0009301^OBO_REL:part_of(TAO:0000032)	dopaminergic neuron of hypothalamus
TAO:0009301^OBO_REL:part_of(TAO:0000402)	dopaminergic neuron of olfactory bulb
TAO:0009301^OBO_REL:part_of(TAO:0000470)	dopaminergic neuron of preoptic area
TAO:0009301^OBO_REL:part_of(TAO:0000418)	dopaminergic neuron of pretectum
TAO:0009301^OBO_REL:part_of(TAO:0000079)	dopaminergic neuron of telencephalon
TAO:0000052	dorsal actinotrichium
TAO:0001312	dorsal anterior lateral line ganglion
TAO:0000014	dorsal aorta
GO:0035912	dorsal aorta morphogenesis
BSPO:0000089^OBO_REL:part_of(TAO:0001128)	dorsal compartment of pharyngeal pouch 1
GO:0060030	dorsal convergence
VSAO:0000165	dorsal fin
TAO:0000102	dorsal fin fold
VSAO:0000177	dorsal fin lepidotrichium
TAO:0001401	dorsal hyoid arch
TAO:0005221	dorsal larval melanophore stripe
TAO:0005025	dorsal longitudinal anastomotic vessel
ZFA:0005266	dorsal longitudinal fasciculus
TAO:0005320	dorsal longitudinal lymphatic vessel
GO:0021744	dorsal motor nucleus of vagus nerve development
TAO:0000197	dorsal nucleus
TAO:0000738	dorsal oblique extraocular muscle
TAO:0000345	dorsal rectus
BSPO:0000079^OBO_REL:part_of(TAO:0000008)	dorsal region of brain
BSPO:0000079^OBO_REL:part_of(TAO:0000100)	dorsal region of cerebellum
BSPO:0000079^OBO_REL:part_of(TAO:0000101)	dorsal region of diencephalon
BSPO:0000079^OBO_REL:part_of(TAO:0000109)	dorsal region of forebrain
BSPO:0000079^OBO_REL:part_of(TAO:0000029)	dorsal region of hindbrain
BSPO:0000079^OBO_REL:part_of(TAO:0001422)	dorsal region of hyosymplectic cartilage
BSPO:0000079^OBO_REL:part_of(TAO:0000128)	dorsal region of midbrain
BSPO:0000079^OBO_REL:part_of(TAO:0001056)	dorsal region of myotome
BSPO:0000079^OBO_REL:part_of(TAO:0001135)	dorsal region of neural tube
BSPO:0000079^OBO_REL:part_of(TAO:0000152)	dorsal region of retina
BSPO:0000079^OBO_REL:part_of(TAO:0000144)	dorsal region of retinal pigmented epithelium
BSPO:0000079^OBO_REL:part_of(TAO:0000075)	dorsal region of spinal cord
BSPO:0000079^OBO_REL:part_of(TAO:0000076)	dorsal region of swim bladder
BSPO:0000079^OBO_REL:part_of(TAO:0005222)	dorsal region of ventral larval melanophore stripe
BSPO:0000079^OBO_REL:part_of(TAO:0000304)	dorsal region of ventral telencephalon
TAO:0000200	dorsal root ganglion
TAO:0000505	dorsal telencephalon
TAO:0001140	dorsal tooth row
BSPO:0000016^OBO_REL:part_of(TAO:0001094)	dorsal/ventral axis of body
BSPO:0000016^OBO_REL:part_of(TAO:0000008)	dorsal/ventral axis of brain
BSPO:0000016^OBO_REL:part_of(TAO:0000107)	dorsal/ventral axis of eye
BSPO:0000016^OBO_REL:part_of(TAO:0001114)	dorsal/ventral axis of head
BSPO:0000016^OBO_REL:part_of(TAO:0000250)	dorsal/ventral axis of opercle
GO:0009950	dorsal/ventral axis specification
GO:0021904	dorsal/ventral neural tube patterning
GO:0009953	dorsal/ventral pattern formation
BSPO:0000048^OBO_REL:part_of(TAO:0000725)	dorso-medial margin of somite 11
BSPO:0000048^OBO_REL:part_of(TAO:0000851)	dorso-medial margin of somite 12
BSPO:0000048^OBO_REL:part_of(TAO:0000975)	dorso-medial margin of somite 13
BSPO:0000048^OBO_REL:part_of(TAO:0000726)	dorso-medial margin of somite 14
BSPO:0000048^OBO_REL:part_of(TAO:0000852)	dorso-medial margin of somite 15
TAO:0007001	dorso-rostral cluster
TAO:0002192	dorsolateral motor nucleus of vagal nerve
TAO:0002193	dorsolateral septum
TAO:0000655	dorsomedial optic tract
GO:0043583	ear development
GO:0042471	ear morphogenesis
GO:0005769^OBO_REL:part_of(TAO:0000150)	early endosome of pronephric duct
TAO:0000016	ectoderm
GO:0007398	ectoderm development
TAO:0009137	ectodermal cell
GO:0001712	ectodermal cell fate commitment
TAO:0000656	ectopterygoid
GO:0048929	efferent axon development in posterior lateral line nerve
GO:0007343	egg activation
GO:0007204	elevation of cytosolic calcium ion concentration
GO:0009790	embryo development
GO:0009792	embryo development ending in birth or egg hatching
GO:0000578	embryonic axis specification
GO:0031076	embryonic camera-type eye development
GO:0060900	embryonic camera-type eye formation
GO:0048596	embryonic camera-type eye morphogenesis
GO:0040016	embryonic cleavage
GO:0048701	embryonic cranial skeleton morphogenesis
GO:0048557	embryonic digestive tract morphogenesis
GO:0048048	embryonic eye morphogenesis
GO:0035050	embryonic heart tube development
GO:0003144	embryonic heart tube formation
GO:0060971	embryonic heart tube left/right pattern formation
GO:0003143	embryonic heart tube morphogenesis
GO:0035162	embryonic hemopoiesis
GO:0035122	embryonic medial fin morphogenesis
GO:0048598	embryonic morphogenesis
GO:0048702	embryonic neurocranium morphogenesis
GO:0048568	embryonic organ development
GO:0009880	embryonic pattern specification
GO:0035118	embryonic pectoral fin morphogenesis
GO:0060059	embryonic retina morphogenesis in camera-type eye
GO:0060272	embryonic skeletal joint morphogenesis
VSAO:0000178	embryonic structure
GO:0048703	embryonic viscerocranium morphogenesis
TAO:0001317	endocardial cushion
GO:0003272	endocardial cushion formation
GO:0003262	endocardial progenitor cell migration to the midline involved in heart field formation
TAO:0005072	endocardial ring
TAO:0001320	endocardium
GO:0003157	endocardium development
GO:0003160	endocardium morphogenesis
VSAO:0000145	endochondral bone
GO:0060350	endochondral bone morphogenesis
VSAO:0000145^OBO_REL:part_of(VSAO:0000147)	endochondral bone of pectoral fin
VSAO:0000145^OBO_REL:part_of(TAO:0005317)	endochondral bone of pectoral fin fold
GO:0001958	endochondral ossification
TAO:0009096	endocrine cell
TAO:0009096^OBO_REL:part_of(TAO:0001260)	endocrine cell of endocrine pancreas
TAO:0009096^OBO_REL:part_of(TAO:0000140)	endocrine cell of pancreas
TAO:0009096^OBO_REL:part_of(TAO:0001370)	endocrine cell of posterior pancreatic bud
TAO:0001260	endocrine pancreas
GO:0031018	endocrine pancreas development
GO:0006897	endocytosis
TAO:0000017	endoderm
GO:0007492	endoderm development
GO:0001706	endoderm formation
TAO:0000017^OBO_REL:part_of(VSAO:0000164)	endoderm of caudal fin
TAO:0009139	endodermal cell
GO:0001714	endodermal cell fate specification
TAO:0009139^OBO_REL:part_of(TAO:0001094)	endodermal cell of body
TAO:0009139^OBO_REL:part_of(TAO:0000017)	endodermal cell of endoderm
TAO:0009139^OBO_REL:part_of(TAO:0000112)	endodermal cell of gut
GO:0061031	endodermal digestive tract morphogenesis
GO:0005788^OBO_REL:part_of(CL:0000138)	endoplasmic reticulum lumen of chondrocyte
GO:0005783^OBO_REL:part_of(CL:0000138)	endoplasmic reticulum of chondrocyte
GO:0005783^OBO_REL:part_of(TAO:0009094)	endoplasmic reticulum of goblet cell
GO:0005783^OBO_REL:part_of(TAO:0009111)	endoplasmic reticulum of hepatocyte
GO:0005783^OBO_REL:part_of(TAO:0005124)	endoplasmic reticulum of intestinal epithelium
GO:0005783^OBO_REL:part_of(TAO:0009114)	endoplasmic reticulum of muscle cell
GO:0005783^OBO_REL:part_of(VSAO:0000032)	endoplasmic reticulum of notochord
GO:0005783^OBO_REL:part_of(TAO:0001567)	endoplasmic reticulum of oocyte stage I
GO:0005783^OBO_REL:part_of(TAO:0001565)	endoplasmic reticulum of oocyte stage II
GO:0005783^OBO_REL:part_of(TAO:0009115)	endoplasmic reticulum of skeletal muscle cell
GO:0030968	endoplasmic reticulum unfolded protein response
GO:0005768^OBO_REL:part_of(TAO:0000150)	endosome of pronephric duct
TAO:0009065	endothelial cell
GO:0001885	endothelial cell development
GO:0043542	endothelial cell migration
TAO:0009065^OBO_REL:part_of(TAO:0005004)	endothelial cell of aortic arch
TAO:0009065^OBO_REL:part_of(TAO:0000005)	endothelial cell of artery
TAO:0009065^OBO_REL:part_of(TAO:0000180)	endothelial cell of caudal vein
TAO:0009065^OBO_REL:part_of(TAO:0000114)	endothelial cell of heart
TAO:0009065^OBO_REL:part_of(TAO:0001306)	endothelial cell of pharyngeal arch
TAO:0009065^OBO_REL:part_of(TAO:0000477)	endothelial cell of posterior cardinal vein
TAO:0009065^OBO_REL:part_of(TAO:0005035)	endothelial cell of subintestinal vein
TAO:0009065^OBO_REL:part_of(TAO:0001115)	endothelial cell of trunk
TAO:0009065^OBO_REL:part_of(TAO:0001069)	endothelial cell of ventral fin fold
GO:0001935	endothelial cell proliferation
TAO:0009303^OBO_REL:part_of(TAO:0001286)	endothelial tip cell of caudal vein plexus
GO:0061154	endothelial tube morphogenesis
TAO:0001155	enteric nervous system
GO:0048484	enteric nervous system development
TAO:0009269	enterocyte
TAO:0009269^OBO_REL:part_of(TAO:0001076)	enterocyte of intestinal bulb
TAO:0009269^OBO_REL:part_of(TAO:0005126)	enterocyte of intestinal bulb epithelium
